disease,model,test_study,train_studies,accuracy,auc
autism,CatBoost,MillanA_2024,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.4098360655737705,0.421505376344086
autism,CatBoost,PullikanJ_2018,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.6111111111111112,0.6083333333333334
autism,CatBoost,KangD_2013,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,DanZ_2020,KangD_2020,SharonG_2019",0.55,0.75
autism,CatBoost,DanZ_2020,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,KangD_2020,SharonG_2019",0.5028901734104047,0.5146847539176049
autism,CatBoost,KangD_2020,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,SharonG_2019",0.47368421052631576,0.6111111111111112
autism,CatBoost,SharonG_2019,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020",0.6341463414634146,0.7031528851873884
bipolar,RandomForest,LiZ_2022,"HuS_2019,GuoZ_2024",0.7114093959731543,0.5222477064220183
bipolar,RandomForest,HuS_2019,"LiZ_2022,GuoZ_2024",0.5714285714285714,0.6022458628841607
bipolar,RandomForest,GuoZ_2024,"LiZ_2022,HuS_2019",0.5,0.48473084886128365
major_depressive_disorder,CatBoost,LiuR_2020,"KovtunA_2022,LiuP_2022,DongZ_2023,ChenH_2022",0.6333333333333333,0.6011875309252844
